,0,1,2,3,4,5,6
0,2021-05-01 17:31:31,香港,地区待确认,11782,4,11432,210
1,2021-05-01 17:31:31,台湾,地区待确认,1132,11,1053,12
2,2021-05-01 17:31:31,上海,境外输入,1616,3,1550,0
3,2021-05-01 17:31:31,上海,静安,16,0,15,1
4,2021-05-01 17:31:31,上海,黄浦,22,0,21,1
5,2021-05-01 17:31:31,上海,地区待确认,0,0,0,0
6,2021-05-01 17:31:31,上海,长宁,14,0,14,0
7,2021-05-01 17:31:31,上海,浦东,69,0,69,0
8,2021-05-01 17:31:31,上海,境外来沪,1,0,1,0
9,2021-05-01 17:31:31,上海,外地来沪,113,0,112,1
10,2021-05-01 17:31:31,上海,嘉定,9,0,7,2
11,2021-05-01 17:31:31,上海,徐汇,18,0,17,1
12,2021-05-01 17:31:31,上海,宝山,26,0,25,1
13,2021-05-01 17:31:31,上海,青浦,6,0,6,0
14,2021-05-01 17:31:31,上海,闵行,19,0,19,0
15,2021-05-01 17:31:31,上海,松江,14,0,14,0
16,2021-05-01 17:31:31,上海,普陀,11,0,11,0
17,2021-05-01 17:31:31,上海,杨浦,9,0,9,0
18,2021-05-01 17:31:31,上海,奉贤,9,0,9,0
19,2021-05-01 17:31:31,上海,虹口,7,0,7,0
20,2021-05-01 17:31:31,上海,金山,4,0,4,0
21,2021-05-01 17:31:31,上海,崇明,4,0,4,0
22,2021-05-01 17:31:31,云南,德宏州,98,0,60,0
23,2021-05-01 17:31:31,云南,境外输入,76,1,62,0
24,2021-05-01 17:31:31,云南,昭通市,25,0,25,0
25,2021-05-01 17:31:31,云南,昆明,53,0,53,0
26,2021-05-01 17:31:31,云南,保山市,9,0,9,0
27,2021-05-01 17:31:31,云南,玉溪,14,0,13,1
28,2021-05-01 17:31:31,云南,红河,9,0,9,0
29,2021-05-01 17:31:31,云南,曲靖,13,0,13,0
30,2021-05-01 17:31:31,云南,大理,13,0,13,0
31,2021-05-01 17:31:31,云南,西双版纳州,15,0,14,1
32,2021-05-01 17:31:31,云南,文山州,2,0,2,0
33,2021-05-01 17:31:31,云南,普洱,4,0,4,0
34,2021-05-01 17:31:31,云南,楚雄州,4,0,4,0
35,2021-05-01 17:31:31,云南,丽江市,7,0,7,0
36,2021-05-01 17:31:31,云南,临沧,1,0,1,0
37,2021-05-01 17:31:31,广东,境外输入,948,7,899,0
38,2021-05-01 17:31:31,广东,佛山,89,0,89,0
39,2021-05-01 17:31:31,广东,汕尾,6,0,6,0
40,2021-05-01 17:31:31,广东,广州,377,0,376,1
41,2021-05-01 17:31:31,广东,中山,67,0,67,0
42,2021-05-01 17:31:31,广东,河源,5,0,5,0
43,2021-05-01 17:31:31,广东,湛江,22,0,22,0
44,2021-05-01 17:31:31,广东,珠海,98,0,97,1
45,2021-05-01 17:31:31,广东,揭阳,10,0,10,0
46,2021-05-01 17:31:31,广东,汕头,25,0,25,0
47,2021-05-01 17:31:31,广东,江门,23,0,23,0
48,2021-05-01 17:31:31,广东,地区待确认,0,0,0,0
49,2021-05-01 17:31:31,广东,深圳,423,0,420,3
50,2021-05-01 17:31:31,广东,肇庆,19,0,18,1
51,2021-05-01 17:31:31,广东,东莞,99,0,98,1
52,2021-05-01 17:31:31,广东,阳江,14,0,14,0
53,2021-05-01 17:31:31,广东,惠州,62,0,62,0
54,2021-05-01 17:31:31,广东,茂名,14,0,14,0
55,2021-05-01 17:31:31,广东,韶关,10,0,9,1
56,2021-05-01 17:31:31,广东,清远,12,0,12,0
57,2021-05-01 17:31:31,广东,潮州,5,0,5,0
58,2021-05-01 17:31:31,广东,梅州,16,0,16,0
59,2021-05-01 17:31:31,福建,境外输入,296,1,270,0
60,2021-05-01 17:31:31,福建,莆田,56,0,56,0
61,2021-05-01 17:31:31,福建,漳州,20,0,20,0
62,2021-05-01 17:31:31,福建,地区待确认,0,0,0,0
63,2021-05-01 17:31:31,福建,宁德,26,0,26,0
64,2021-05-01 17:31:31,福建,龙岩,6,0,6,0
65,2021-05-01 17:31:31,福建,南平,20,0,20,0
66,2021-05-01 17:31:31,福建,三明,14,0,14,0
67,2021-05-01 17:31:31,福建,泉州,47,0,47,0
68,2021-05-01 17:31:31,福建,厦门,35,0,35,0
69,2021-05-01 17:31:31,福建,福州,72,0,71,1
70,2021-05-01 17:31:31,四川,境外输入,427,2,404,0
71,2021-05-01 17:31:31,四川,甘孜,78,0,78,0
72,2021-05-01 17:31:31,四川,雅安,8,0,8,0
73,2021-05-01 17:31:31,四川,遂宁,17,0,17,0
74,2021-05-01 17:31:31,四川,广元,6,0,6,0
75,2021-05-01 17:31:31,四川,内江,22,0,22,0
76,2021-05-01 17:31:31,四川,自贡,9,0,9,0
77,2021-05-01 17:31:31,四川,攀枝花,16,0,16,0
78,2021-05-01 17:31:31,四川,泸州,24,0,24,0
79,2021-05-01 17:31:31,四川,德阳,18,0,18,0
80,2021-05-01 17:31:31,四川,凉山,13,0,13,0
81,2021-05-01 17:31:31,四川,成都,158,0,155,3
82,2021-05-01 17:31:31,四川,阿坝,1,0,1,0
83,2021-05-01 17:31:31,四川,资阳,4,0,4,0
84,2021-05-01 17:31:31,四川,眉山,8,0,8,0
85,2021-05-01 17:31:31,四川,巴中,24,0,24,0
86,2021-05-01 17:31:31,四川,达州,42,0,42,0
87,2021-05-01 17:31:31,四川,广安,30,0,30,0
88,2021-05-01 17:31:31,四川,宜宾,12,0,12,0
89,2021-05-01 17:31:31,四川,南充,39,0,39,0
90,2021-05-01 17:31:31,四川,乐山,3,0,3,0
91,2021-05-01 17:31:31,四川,绵阳,22,0,22,0
92,2021-05-01 17:31:31,浙江,境外输入,125,1,104,0
93,2021-05-01 17:31:31,浙江,金华,55,0,55,0
94,2021-05-01 17:31:31,浙江,省十里丰监狱,36,0,36,0
95,2021-05-01 17:31:31,浙江,丽水,17,0,17,0
96,2021-05-01 17:31:31,浙江,舟山,10,0,10,0
97,2021-05-01 17:31:31,浙江,衢州,14,0,14,0
98,2021-05-01 17:31:31,浙江,台州,147,0,147,0
99,2021-05-01 17:31:31,浙江,绍兴,42,0,42,0
100,2021-05-01 17:31:31,浙江,嘉兴,46,0,46,0
101,2021-05-01 17:31:31,浙江,湖州,10,0,10,0
102,2021-05-01 17:31:31,浙江,温州,504,0,503,1
103,2021-05-01 17:31:31,浙江,宁波,157,0,157,0
104,2021-05-01 17:31:31,浙江,杭州,181,0,181,0
105,2021-05-01 17:31:31,海南,境外输入,19,0,2,0
106,2021-05-01 17:31:31,海南,保亭,3,0,3,0
107,2021-05-01 17:31:31,海南,海口,39,0,39,0
108,2021-05-01 17:31:31,海南,儋州,15,0,14,1
109,2021-05-01 17:31:31,海南,东方,3,0,2,1
110,2021-05-01 17:31:31,海南,万宁,13,0,13,0
111,2021-05-01 17:31:31,海南,澄迈县,9,0,8,1
112,2021-05-01 17:31:31,海南,昌江县,7,0,7,0
113,2021-05-01 17:31:31,海南,三亚,55,0,54,1
114,2021-05-01 17:31:31,海南,琼海,6,0,5,1
115,2021-05-01 17:31:31,海南,临高县,6,0,6,0
116,2021-05-01 17:31:31,海南,陵水县,4,0,4,0
117,2021-05-01 17:31:31,海南,乐东,2,0,2,0
118,2021-05-01 17:31:31,海南,文昌,3,0,3,0
119,2021-05-01 17:31:31,海南,定安县,3,0,2,1
120,2021-05-01 17:31:31,海南,琼中县,1,0,1,0
121,2021-05-01 17:31:31,陕西,境外输入,342,0,327,0
122,2021-05-01 17:31:31,陕西,韩城,1,0,1,0
123,2021-05-01 17:31:31,陕西,渭南,17,0,17,0
124,2021-05-01 17:31:31,陕西,地区待确认,0,0,0,0
125,2021-05-01 17:31:31,陕西,咸阳,17,0,17,0
126,2021-05-01 17:31:31,陕西,汉中,26,0,26,0
127,2021-05-01 17:31:31,陕西,杨凌,1,0,1,0
128,2021-05-01 17:31:31,陕西,西安,121,0,118,3
129,2021-05-01 17:31:31,陕西,榆林,3,0,3,0
130,2021-05-01 17:31:31,陕西,商洛,7,0,7,0
131,2021-05-01 17:31:31,陕西,铜川,8,0,8,0
132,2021-05-01 17:31:31,陕西,延安,8,0,8,0
133,2021-05-01 17:31:31,陕西,宝鸡,13,0,13,0
134,2021-05-01 17:31:31,陕西,安康,26,0,26,0
135,2021-05-01 17:31:31,江苏,境外输入,88,0,79,0
136,2021-05-01 17:31:31,江苏,徐州,79,0,79,0
137,2021-05-01 17:31:31,江苏,宿迁,13,0,13,0
138,2021-05-01 17:31:31,江苏,南通,40,0,40,0
139,2021-05-01 17:31:31,江苏,苏州,87,0,87,0
140,2021-05-01 17:31:31,江苏,南京,93,0,93,0
141,2021-05-01 17:31:31,江苏,无锡,55,0,55,0
142,2021-05-01 17:31:31,江苏,盐城,27,0,27,0
143,2021-05-01 17:31:31,江苏,连云港,48,0,48,0
144,2021-05-01 17:31:31,江苏,淮安,66,0,66,0
145,2021-05-01 17:31:31,江苏,镇江,12,0,12,0
146,2021-05-01 17:31:31,江苏,常州,51,0,51,0
147,2021-05-01 17:31:31,江苏,扬州,23,0,23,0
148,2021-05-01 17:31:31,江苏,泰州,37,0,37,0
149,2021-05-01 17:31:31,天津,境外输入,238,0,230,0
150,2021-05-01 17:31:31,天津,宁河区,4,0,4,0
151,2021-05-01 17:31:31,天津,北辰区,7,0,7,0
152,2021-05-01 17:31:31,天津,宝坻区,60,0,58,2
153,2021-05-01 17:31:31,天津,河北区,12,0,12,0
154,2021-05-01 17:31:31,天津,津南区,2,0,2,0
155,2021-05-01 17:31:31,天津,南开区,6,0,6,0
156,2021-05-01 17:31:31,天津,河东区,15,0,14,1
157,2021-05-01 17:31:31,天津,滨海新区,13,0,13,0
158,2021-05-01 17:31:31,天津,和平区,6,0,6,0
159,2021-05-01 17:31:31,天津,外地来津,6,0,6,0
160,2021-05-01 17:31:31,天津,武清区,2,0,2,0
161,2021-05-01 17:31:31,天津,东丽区,4,0,4,0
162,2021-05-01 17:31:31,天津,河西区,4,0,4,0
163,2021-05-01 17:31:31,天津,西青区,4,0,4,0
164,2021-05-01 17:31:31,天津,红桥区,2,0,2,0
165,2021-05-01 17:31:31,山西,境外输入,113,0,105,0
166,2021-05-01 17:31:31,山西,晋中,41,0,41,0
167,2021-05-01 17:31:31,山西,太原,21,0,21,0
168,2021-05-01 17:31:31,山西,大同,12,0,12,0
169,2021-05-01 17:31:31,山西,运城,19,0,19,0
170,2021-05-01 17:31:31,山西,忻州,7,0,7,0
171,2021-05-01 17:31:31,山西,晋城,10,0,10,0
172,2021-05-01 17:31:31,山西,长治,8,0,8,0
173,2021-05-01 17:31:31,山西,朔州,8,0,8,0
174,2021-05-01 17:31:31,山西,临汾,2,0,2,0
175,2021-05-01 17:31:31,山西,阳泉,4,0,4,0
176,2021-05-01 17:31:31,山西,吕梁,6,0,6,0
177,2021-05-01 17:31:31,北京,境外输入,229,0,222,0
178,2021-05-01 17:31:31,北京,石景山,15,0,15,0
179,2021-05-01 17:31:31,北京,朝阳,80,0,80,0
180,2021-05-01 17:31:31,北京,怀柔,8,0,8,0
181,2021-05-01 17:31:31,北京,顺义,45,0,45,0
182,2021-05-01 17:31:31,北京,大兴,134,0,134,0
183,2021-05-01 17:31:31,北京,延庆,1,0,1,0
184,2021-05-01 17:31:31,北京,密云,7,0,7,0
185,2021-05-01 17:31:31,北京,外地来京,25,0,25,0
186,2021-05-01 17:31:31,北京,地区待确认,5,0,5,0
187,2021-05-01 17:31:31,北京,东城,19,0,19,0
188,2021-05-01 17:31:31,北京,通州,20,0,11,9
189,2021-05-01 17:31:31,北京,房山,20,0,20,0
190,2021-05-01 17:31:31,北京,西城,59,0,59,0
191,2021-05-01 17:31:31,北京,海淀,82,0,82,0
192,2021-05-01 17:31:31,北京,丰台,273,0,273,0
193,2021-05-01 17:31:31,北京,昌平,30,0,30,0
194,2021-05-01 17:31:31,北京,门头沟,5,0,5,0
195,2021-05-01 17:31:31,湖北,境外输入,23,0,17,0
196,2021-05-01 17:31:31,湖北,武汉,50340,0,46471,3869
197,2021-05-01 17:31:31,湖北,仙桃,575,0,553,22
198,2021-05-01 17:31:31,湖北,宜昌,931,0,894,37
199,2021-05-01 17:31:31,湖北,荆州,1580,0,1528,52
200,2021-05-01 17:31:31,湖北,黄冈,2907,0,2782,125
201,2021-05-01 17:31:31,湖北,孝感,3518,0,3389,129
202,2021-05-01 17:31:31,湖北,黄石,1015,0,976,39
203,2021-05-01 17:31:31,湖北,荆门,928,0,887,41
204,2021-05-01 17:31:31,湖北,十堰,672,0,664,8
205,2021-05-01 17:31:31,湖北,神农架,11,0,11,0
206,2021-05-01 17:31:31,湖北,鄂州,1394,0,1335,59
207,2021-05-01 17:31:31,湖北,天门,496,0,481,15
208,2021-05-01 17:31:31,湖北,潜江,198,0,189,9
209,2021-05-01 17:31:31,湖北,恩施州,252,0,245,7
210,2021-05-01 17:31:31,湖北,随州,1307,0,1262,45
211,2021-05-01 17:31:31,湖北,咸宁,836,0,821,15
212,2021-05-01 17:31:31,湖北,襄阳,1175,0,1135,40
213,2021-05-01 17:31:31,重庆,境外输入,20,0,15,0
214,2021-05-01 17:31:31,重庆,涪陵区,5,0,5,0
215,2021-05-01 17:31:31,重庆,长寿区,22,0,22,0
216,2021-05-01 17:31:31,重庆,綦江区,23,0,23,0
217,2021-05-01 17:31:31,重庆,荣昌区,9,0,9,0
218,2021-05-01 17:31:31,重庆,沙坪坝区,9,0,9,0
219,2021-05-01 17:31:31,重庆,江北区,28,0,28,0
220,2021-05-01 17:31:31,重庆,铜梁区,10,0,10,0
221,2021-05-01 17:31:31,重庆,丰都县,10,0,10,0
222,2021-05-01 17:31:31,重庆,潼南区,18,0,18,0
223,2021-05-01 17:31:31,重庆,南岸区,15,0,15,0
224,2021-05-01 17:31:31,重庆,九龙坡区,21,0,20,1
225,2021-05-01 17:31:31,重庆,万州区,118,0,114,4
226,2021-05-01 17:31:31,重庆,两江新区,17,0,17,0
227,2021-05-01 17:31:31,重庆,巴南区,6,0,6,0
228,2021-05-01 17:31:31,重庆,奉节县,22,0,22,0
229,2021-05-01 17:31:31,重庆,渝中区,20,0,20,0
230,2021-05-01 17:31:31,重庆,垫江县,20,0,20,0
